Class;Name;Comments;M or O;D or A;Class;Dims;Size or content;Min;Max;Accessory Class
ONDE_UT_GATE;ONDE_UT_GATE:START;For scalar data relying on Ascan data, defines the start time for the gate. Mandatory for data related to Ascans.;O;A;H5T_FLOAT;1;;;;
ONDE_UT_GATE;ONDE_UT_GATE:WIDTH;For Cscans scalar data relying on Ascan data, defines the width of the gate. Mandatory for data related to Ascans;O;A;H5T_FLOAT;1;;;;
ONDE_UT_GATE;ONDE_UT_GATE:THRESHOLD;Defines the threshold of the gate for data to be stored;O;A;H5T_FLOAT;1;;;;
ONDE_UT_GATE;ONDE_UT_GATE:DETECTION;;O;A;H5T_STRING;1;"FIRST_PEAK"|"LAST_PEAK"|"MAX_PEAK"|"FIRST_FLANK"|"LAST_FLANK"|"MAX_FLANK";;;
ONDE_UT_GATE;ONDE_UT_GATE:POLARITY;;O;A;H5T_STRING;1;"ABSOLUTE"|"POSITIVE"|"NEGATIVE";;;
ONDE_UT_GATE;ONDE_UT_GATE:SYNCHRONIZATION_SOURCE;Reference to the gate that is used as a synchronization source for this gate. If absent, the gate is defined as a static gate.;O;A;H5T_STD_REF_OBJ<ONDE_UT_GATE>;1;;;;
ONDE_SETUP;ONDE:TYPE;The `ONDE:TYPE` attribute dictates the semantic meaning of the HDF5 group. It contains a 1D array of strings that traces the class inheritance from the root class down to this specific class.;M;A;H5T_STRING;[1];["ONDE_SETUP"];;;
ONDE_SETUP;ONDE_SETUP:GEOMETRIC_SETUP;;M;A;H5T_STD_REF_OBJ<ONDE_GEOMETRIC_SETUP>;1;;;;
ONDE_SETUP_UT;ONDE:TYPE;The `ONDE:TYPE` attribute dictates the semantic meaning of the HDF5 group. It contains a 1D array of strings that traces the class inheritance from the root class down to this specific class.;M;A;H5T_STRING;[2];["ONDE_SETUP", "ONDE_SETUP_UT"];;;
ONDE_SETUP_UT;ONDE_SETUP_UT:ULTRASONIC_SETUP;Mandatory for Ascan sequences;O;A;H5T_STD_REF_OBJ<ONDE_ULTRASONIC_SETUP>;1;;;;
ONDE_GEOMETRIC_SETUP;ONDE:TYPE;The `ONDE:TYPE` attribute dictates the semantic meaning of the HDF5 group. It contains a 1D array of strings that traces the class inheritance from the root class down to this specific class.;M;A;H5T_STRING;[1];["ONDE_GEOMETRIC_SETUP"];;;
ONDE_GEOMETRIC_SETUP;ONDE_GEOMETRIC_SETUP:COMPONENT;Reference to the inspected component. If missing, semi-infinite half plane is assumed, with interface at z=0 and material for z>0;O;A;H5T_STD_REF_OBJ<ONDE_COMPONENT>;1;;;;
ONDE_GEOMETRIC_SETUP;ONDE_GEOMETRIC_SETUP:PROBE_LIST;List all probes used in the acquisition of the dataset;M;D;H5T_STD_REF_OBJ<ONDE_PROBE>;[N_Prob<M>];;;;
ONDE_GEOMETRIC_SETUP;ONDE_GEOMETRIC_SETUP:ACQUISITION_TRAJECTORY;References to the block describing the trajectory, references have the same order as PROBE_LIST;M;D;H5T_STD_REF_OBJ<ONDE_ACQUISITION_TRAJECTORY>;[N_Prob<M>];;;;
ONDE_GEOMETRIC_SETUP;ONDE_GEOMETRIC_SETUP:PROBE_COORDINATE_FRAME;Offset and direction of the probe w.r.t the trajectory frame- identity is assumed if not provided;O;D;H5T_FLOAT;[N_Prob<M>,7];;;;
ONDE_BINARYFILE;ONDE:TYPE;The `ONDE:TYPE` attribute dictates the semantic meaning of the HDF5 group. It contains a 1D array of strings that traces the class inheritance from the root class down to this specific class.;M;A;H5T_STRING;[1];["ONDE_BINARYFILE"];;;
ONDE_BINARYFILE_EMBEDDED;ONDE:TYPE;The `ONDE:TYPE` attribute dictates the semantic meaning of the HDF5 group. It contains a 1D array of strings that traces the class inheritance from the root class down to this specific class.;M;A;H5T_STRING;[2];["ONDE_BINARYFILE", "ONDE_BINARYFILE_EMBEDDED"];;;
ONDE_BINARYFILE_EMBEDDED;ONDE_BINARYFILE_EMBEDDED:CONTENT;The bytes of the binary file;M;D;H5T_NATIVE_OPAQUE;[N_bytes];;;;
ONDE_BINARYFILE_EMBEDDED;ONDE_BINARYFILE_EMBEDDED:CONTENT_TYPE;The MIME type of the file provided. May be "application/octet-string" for unknown binary data.;M;A;H5T_STRING;;;;;
ONDE_BINARYFILE_EMBEDDED;ONDE_BINARYFILE_EMBEDDED:NAME;An optional file name identifying the contained information.;O;A;H5T_STRING;;;;;
ONDE_COMPONENT;ONDE:TYPE;The `ONDE:TYPE` attribute dictates the semantic meaning of the HDF5 group. It contains a 1D array of strings that traces the class inheritance from the root class down to this specific class.;M;A;H5T_STRING;[1];["ONDE_COMPONENT"];;;
ONDE_COMPONENT;ONDE:LABEL;;O;A;H5T_STRING;;;;;
ONDE_COMPONENT;ONDE_COMPONENT:VELOCITIES;The two values indicate the longitudinal and shear wave velocities respectively. Missing values should be replaced by NaN.;M;A;H5T_FLOAT;[2];;;;
ONDE_COMPONENT;ONDE_COMPONENT:DENSITY;;O;A;H5T_FLOAT;1;;;;
